Espece,Diametre minimum du chapeau,Diametre maximum du chapeau,Couleur du chapeau,Forme du chapeau,Surface du chapeau,Type de marge,Couleur de la marge,Dessous du chapeau,Couleur au dessous du chapeau,Oxydation du chapeau,Couleur de l oxydation du chapeau,Mode d insertion du dessous du chapeau avec le pied,Espace entre les lamelles,Type de lamelles,Couleur du pied,Pïed creux ou plein,Forme du pied,Longueur du pied,Surface su pied,Position du pied par rapport au chapeau,Presence d un anneau,Orientation de l anneau,Mobilite de l anneau,Couleur de l anneau,Poussee en touffe,Couleur de la base du pied,Couleur de la chair,Oxydation de la chair,Couleur de l oxydation,Fermete de la chair,Odeur,Latex,Couleur du latex,Mois de poussees le plus tot,Mois de poussees le plus tard,Milieu,Pousse sur du bois ou non,Nom vernaculaire,Comestibilite,Commentaires,Synonymes,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acetabula vulgaris,0,0,,,,,,,,absence d oxydation,,,,,,pied plein,,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,Pezize vulgaire,comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agaricus abruptibulbus,8,12,blanc,,ecailleuse ; mechuleuse ; squameuse,,,lamelles,gris ; rouge ; brun ; noir,absence d oxydation,,libres,serrees,normal ;,blanc,pied creux,cylindrique ; tubulaire ; mince ; elance ; grele ; bulbeux ; volve,,,centrale,oui,descendant,,blanc ;,non,,blanc,oui,jaune,,anis ; agreable,non,,juin ; janvier,octobre ; decembre,coniferes,non,Psalliote a pied bulbeux,comestible,Peut etre confondu avec Agaricus silvicola (psalliote des bois),Agaricus essetei,;;;;;;;;;;;;;;;;;;;;;;;;
Agaricus arvensis,3,15,blanc,ovoide ; ogival ; cylindrique  ; campanule ; convexe ; plan ; mamelonne,ecailleuse ; mechuleuse ; squameuse ; lisse ; glabre,,,lamelles,gris ; brun ; noir ; rose,absence d oxydation,jaune ;,libres,serrees,normal ;,blanc,pied plein,cylindrique ; tubulaire ; mince ; elance ; grele ; bulbeux ; volve,pied long,,centrale,oui,descendant,,blanc ;,non,,blanc,oui,jaune,ferme,anis ; agreable,non,,juin ; janvier,octobre ; decembre,prairies ; pres ; pelouses,non,Agaric des jacheres ;" Boule de neige,bon comestible,""Peut etre confondu avec Amanita virosa (amanite vireuse) et Amanita verna (amanite printaniere), mais elles ont une volve et leurs lames sont blanches"",Psalliota arvensis,";;;;;;;;;;;;
Agaricus augustus,0,15,brun ; creme,hemispherique ; convexe ; plan,ecailleuse ; mechuleuse ; squameuse,,,lamelles,creme ; brun,presence d oxydation,jaune ;,libres,,normal ;,,pied plein,cylindrique ; tubulaire ; massue ; claviforme ; mince ; elance ; grele,,velue ; poilue ; tomenteuse ; pelucheuse ;,centrale,oui,descendant,,,non,,blanc,oui,jaune ; rose ;,,amande ;,non,,aout ; janvier,novembre ; decembre,prairies ; pres ; feuillus,non,Agaric imperial,bon comestible,Peut etre confondu avec Agaricus silvaticus (agaric sylvatique) dont la chair s'oxyde de rouge et qui prefere les forets de coniferes,Psalliota augusta,;;;;;;;;;;;;;;;
Agaricus benesii,5,15,blanc,nombril ; ombilique,mate ; ecailleuse ; mechuleuse ; squameuse ; fibrileuse ;,,,lamelles,gris ; rose ; brun ; noir,absence d oxydation,,libres,serrees,normal ;,blanc,pied plein,obese ; ventru ; trapu,,,centrale,oui,,,,non,,blanc,oui,rouge ,,agreable ;,non,,juin ; janvier,septembre ; decembre,feuillus ; coniferes ; prairies ; pres ;",non,Champignon des trottoirs,comestible,""Il rougit a la coupe, en particulier au sommet du pied"",,";;;;;;;;;;;;;;;;;;;;;
Agaricus bisporus,0,0,,hemispherique ; convexe,,,,lamelles,,absence d oxydation,,,,normal ;,,pied plein,,,,centrale,non,,,,non,,,non, ,,,non,,janvier ; janvier,decembre ; decembre,,non,Champignon de Paris,bon comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agaricus bitorquis,3,15,blanc ; creme,,ecailleuse ; mechuleuse ; squameuse,enroulee ; involutee ; lisse ; droite ; reguliere ;,,lamelles,rose ; brun,absence d oxydation,,libres,serrees,normal ;,blanc,pied plein,cylindrique ; tubulaire ; aminci a la base ; aminci au sommet ; attenue ; base pointue ; renfle ; fuseau ; fusiforme ; obese ; ventru ; trapu,pied court,,centrale,oui,,,,non,,blanc ; rose ; creme ;,non, ,,noix  ; agreable,non,,mai ; janvier,octobre ; decembre,prairies ; pres,non,Agaric des trottoirs,mauvais comestible,Son anneau est double (ascendant et descendant). Il peut neanmoins etre confondu avec Agaricus campestris (rose des pres),Psalliota edulis,;;;;;;;;;;;;
Agaricus campester,0,10,blanc ; creme,conique ; plan,,,,lamelles,rose ; brun,absence d oxydation,,libres,,normal ;,,pied plein,aminci a la base ; aminci au sommet ; attenue ; base pointue ; renfle ; fuseau ; fusiforme ; cylindrique ; tubulaire ;,,,centrale,oui,,,,non,,blanc ; rose,non, ,,agreable ;,non,,janvier ; janvier,decembre ; decembre,,non,Rose des pres ; Agaric des champs ; Agaric champetre ; Psalliote champetre,bon comestible,Peut etre confondu avec Agaricus xanthoderma (agaric jaunissant) dont le pied jaunit a la coupure et qui sent l'iode,Psalliota campestris,;;;;;;;;;;;;;;;;;;;;
Agaricus campestris,3,10,blanc,,ecailleuse ; mechuleuse ; squameuse,,,lamelles,rose ; brun ; noir ;,absence d oxydation,,libres,serrees,normal ;,blanc,pied plein,cylindrique ; tubulaire ; mince ; elance ; grele ;,,,centrale,oui,,mobile,blanc ;,non,,blanc,oui,rouge ,,agreable ;,non,,aout ; janvier,octobre ; decembre,prairies ; pres,non,Rose des pres ; Agaric champetre ;" Psalliote des champs,bon comestible,""Contrairement a Agaricus xanthoderma (psalliote jaunissante), sa chair ne jaunit pas"",,";;;;;;;;;;;;;;;;;;;;;;
Agaricus essettei,8,12,blanc,hemispherique ; convexe ; plan,ecailleuse ; mechuleuse ; squameuse ; mate,,,lamelles,gris ; rose ; brun ; noir,absence d oxydation,,libres,serrees,normal ;,blanc ; jaune ;,pied creux,cylindrique ; tubulaire ; mince ; elance ; grele ; bulbeux ; volve,,,centrale,oui,descendant,,blanc ;,non,,blanc,oui,jaune ,,anis ; agreable,non,,juin ; janvier,octobre ; decembre,coniferes ; feuillus,non,Psalliote a pied bulbeux ; Agaric a pied bulbeux ; Anise,bon comestible,Peut etre confondu avec Agaricus silvicola (psalliote des bois) et Agaricus xanthoderma (agaric jaunissant),Psalliota abruptibulba,;;;;;;;;;;;;;;;;
Agaricus macrosporus,0,30,blanc,ovoide ; ogival ; cylindrique  ; campanule ; convexe ; plan ; mamelonne,lisse ; glabre ; fibrileuse ; ecailleuse ; mechuleuse ; squameuse ;,,,lamelles,gris ; rose ; brun ;,presence d oxydation,jaune ;,libres,serrees,normal ;,blanc ; creme ;,pied plein,cylindrique ; tubulaire,pied court,floconneuse ;,centrale,oui,,,,non,,blanc,oui,rouge ; rose ; ,ferme,amande ; anis,non,,juillet ; janvier,octobre ; decembre,prairies ; pres,non,Psalliote a grosses spores,bon comestible,Sa taille le distingue des autres agarics,,;;;;;;;;;;;;;
Agaricus silvaticus,5,12,creme ; brun,hemispherique ; convexe ; plan,ecailleuse ; mechuleuse ; squameuse,,,lamelles,gris ; rose ; brun ;,absence d oxydation,,libres,serrees,normal ;,blanc ; gris ;,pied plein,aminci a la base ; aminci au sommet ; attenue ; base pointue ; renfle ; fuseau ; fusiforme ; mince ; elance ; grele ; bulbeux ; volve,,ecailleuse ; mechuleuse ; squameuse ;,centrale,oui,descendant,,blanc ;,non,blanc,blanc,oui,rouge,,faible ; agreable,non,,juillet ; janvier,octobre ; decembre,coniferes,non,Agaric des forets ; Psalliote des forets ; Agaric sylvatique,bon comestible,Peut etre confondu avec Agaricus augustus dont l'odeur rappelle celle des amandes ameres et dont la chair rougit tres peu,Psalliota silvatica,;;;;;;;;;
