id_champi;nom
1;Acetabula vulgaris
2;Agaricus abruptibulbus
3;Agaricus arvensis
4;Agaricus augustus
5;Agaricus benesii
6;Agaricus bisporus
7;Agaricus bitorquis
8;Agaricus campester
9;Agaricus campestris
10;Agaricus essettei
11;Agaricus macrosporus
12;Agaricus silvaticus
13;Agaricus xanthoderma
14;Agrocybe aegerita
15;Agrocybe praecox
16;Aleuria aurantia
17;Albatrellus ovinus
18;Alternaria solani
19;Amanita caesarea
20;Amanita ceciliae
21;Amanita citrina
22;Amanita crocea
23;Amanita echinocephala
24;Amanita eliae
25;Amanita excelsa
26;Amanita franchetii
27;Amanita fulva
28;Amanita gemmata
29;Amanita junquillea
30;Amanita livido pallescens
31;Amanita mairei
32;Amanita mappa
33;Amanita muscaria
34;Amanita ovoidea
35;Amanita pantherina
36;Amanita phalloides
37;Amanita porphyria
38;Amanita rubescens
39;Amanita solitaria
40;Amanita strobiliformis
41;Amanita unbrinolutea
42;Amanita vaginata
43;Amanita verna
44;Amanita virosa
45;Anthina flammea
46;Anthurus archeri
47;Armillaria bulbosa
48;Armillaria mellea
49;Armillariella mellea
50;Asterophora lycoperdoides
51;Astraeus hygrometricus
52;Aureoboletus gentilis
53;Auricularia auricula
54;Auricularia auriculajudae
55;Auricularia mesenterica
56;Auriscalpium vulgare
57;Baeospora myosura
58;Bolbitius vitellinus
59;Boletinus asiaticus
60;Boletinus cavipes
61;Boletinus landkammeri
62;Boletus aereus
63;Boletus aestivalis
64;Boletus appendiculatus
65;Boletus aurantiacus
66;Boletus badius
67;Boletus calopus
68;Boletus carpini
69;Boletus castaneus
70;Boletus cavipes
71;Boletus chrysenteron
72;Boletus cramesinus
73;Boletus crocipodius
74;Boletus depilatus
75;Boletus edulis
76;Boletus erythropus
77;Boletus fechtneri
78;Boletus granulatus
79;Boletus griseum
80;Boletus impolitus
81;Boletus lividus
82;Boletus lupinus
83;Boletus luridus
84;Boletus luteus
85;Boletus parasiticus
86;Boletus pinophilus
87;Boletus piperatus
88;Boletus pseudoregius
89;Boletus pulverulentus
90;Boletus purpureus
91;Boletus queletii
92;Boletus radicans
93;Boletus regius
94;Boletus rhodopurpureus
95;Boletus rhodoxanthus
96;Boletus rubrosanguineus
97;Boletus satanas
98;Boletus scaber
99;Boletus subtomentosus
100;Boletus torosus
101;Boletus variegatus
102;Boletus versicolor
103;Boletus viscidus
104;Bondarzewia mesenterica
105;Bovista nigrescens
106;Bovista plumbea
107;Bulgaria inquinans
108;Calocera viscosa
109;Calociporus piperatus
110;Calocybe cambosa
111;Calocybe gambosa
112;Calodon ferrugineum
113;Calvatia caelata
114;Calvatia excipuliformis
115;Calvatia gigantea
116;Calvatia utriformis
117;Camarophyllus virgineus
118;Camorophyllus pratensis
119;Candida albicans
120;Cantharellus amethystinus
121;Cantharellus cibarius
122;Cantharellus cinereus
123;Cantharellus friesii
124;Cantharellus lutescens
125;Cantharellus melanoxeros
126;Cantharellus tubaeformis
127;Cantharellus xanthopus
128;Catathelasma imperiale
129;Chalciporus amarellus
130;Chalciporus piperatus
131;Chalciporus rubinus
132;Chlorociboria aeruginascens
133;Choiromyces meandriformis
134;Chondrostereum purpureum
135;Clathrus archeri
136;Clathrus ruber
137;Clavaria aurea
138;Clavaria botrytis
139;Clavaria cristata
140;Clavaria formosa
141;Clavaria ligula
142;Clavaria pallida
143;Clavaria pistillaris
144;Clavaria truncatus
145;Clavariadelphus pistillaris
146;Clavariadelphus truncatus
147;Clavulina cinerea
148;Clavulina cristata
149;Clavulinopsis corniculata
150;Cliotocybe gibba
151;Clitocybe clavipes
152;Clitocybe dealbata
153;Clitocybe geotropa
154;Clitocybe gibba
155;Clitocybe inornata
156;Clitocybe nebularis
157;Clitocybe odora
158;Clitocybe phyllophila
159;Clitopilus prunulus
160;Collybia butyracea var. Asema
161;Collybia confluens
162;Collybia dryophila
163;Collybia fusipes
164;Collybia hariolorum
165;Collybia maculata
166;Collybia peronata
167;Collybia platyphylla
168;Coltricia perennis
169;Conocybe sienophylla
170;Coprinus angulatus
171;Coprinus astramentanus
172;Coprinus atramentarius
173;Coprinus auricomus
174;Coprinus comatus
175;Coprinus disseminatus
176;Coprinus leiocephalus
177;Coprinus micaceus
178;Coprinus miser
179;Coprinus picaceus
180;Coprinus plicatilis
181;Coprinus stramentarius
182;Cordyceps capitata
183;Cordyceps militaris
184;Cortinarius alboviolaceus
185;Cortinarius anomalus
186;Cortinarius armillatus
187;Cortinarius bolaris
188;Cortinarius bulliardi
189;Cortinarius calochrous
190;Cortinarius cinnabarinus
191;Cortinarius cinnamomeus
192;Cortinarius coerulescens
193;Cortinarius cotoneus
194;Cortinarius cyanopus
195;Cortinarius delibutus
196;Cortinarius elatior
197;Cortinarius elegantior
198;Cortinarius elegantissimus
199;Cortinarius forvus
200;Cortinarius gentilis
201;Cortinarius glaucopus
202;Cortinarius hinnuleus
203;Cortinarius humicola
204;Cortinarius infractus
205;Cortinarius malicorius
206;Cortinarius multiformis
207;Cortinarius odorifer
208;Cortinarius orellanus
209;Cortinarius phoeniceus
210;Cortinarius pholideus
211;Cortinarius praestans
212;Cortinarius purpurascens
213;Cortinarius rubellus
214;Cortinarius sanguineus
215;Cortinarius semisanguineus
216;Cortinarius splendens
217;Cortinarius torvus
218;Cortinarius traganus
219;Cortinarius triumphans
220;Cortinarius trivialis
221;Cortinarius turmalis
222;Cortinarius varius
223;Cortinarius venetus
224;Cortinarius violaceus
225;Craterellus cinereus
226;Craterellus cornucopioides
227;Craterellus lutescens
228;Craterellus melanoxeros
229;Craterellus tubaeformis
230;Craterellus undulatus
231;Creolophus cirrhatus
232;Crepidotus applanatus
233;Crepidotus autochthonus
234;Crepidotus mollis
235;Crepidotus variabilis
236;Crucibulum laeve
237;Cudoniella clavus
238;Cuphophyllus berkeleyi
239;Cuphophyllus cereopallidus
240;Cuphophyllus colemannianus
241;Cuphophyllus fuscescens
242;Cuphophyllus grossulus
243;Cuphophyllus lacmus
244;Cuphophyllus lilacinus
245;Cuphophyllus pratensis
246;Cuphophyllus russocoriaceus
247;Cuphophyllus subradiatus
248;Cuphophyllus virgineus
249;Cuphophyllus xanthochrous
250;Cyathus olla
251;Cyathus striatus
252;Cystoderma amianthinum
253;Cystoderma carcharias
254;Cystoderma cinnabarinum
255;Cystoderma granulosum
256;Cystoderma terrei
257;Cystolepiota bucknallii
258;Cystolepiota hetieri
259;Dacrymyces stillatus
260;Daedalea confragosa
261;Daedalea quercina
262;Daedaleopsis confragosa
263;Daldinia concentrica
264;Dasyscyphus bicolor
265;Dasyscyphus corticalis
266;Datronia mollis
267;Delicatula integrella
268;Dendropolyporus varius
269;Dermocybe aureifolia
270;Dermocybe cinnabarina
271;Dermocybe cinnamomeolutea
272;Dermocybe concinna
273;Dermocybe phoenicea
274;Dermocybe sanguinea
275;Dermocybe semi-sanguinea
276;Diatrype bullata
277;Discina perlata
278;Disciotis venosa
279;Ditiola peziziformis
280;Drosophila hydrophila
281;Drosophila velutina
282;Dryodon coralloides
283;Dumontinia tuberosa
284;Echinoderma asperum
285;Elaphomyces granulatus
286;Encoelia furfuracea
287;Entoloma cetratum
288;Entoloma clypeatum
289;Entoloma dichroum
290;Entoloma dysthaloides
291;Entoloma incanum
292;Entoloma lividoalbum
293;Entoloma lividum
294;Entoloma majaloides
295;Entoloma mougeotii
296;Entoloma nitidum
297;Entoloma pleopodium
298;Entoloma porphyrophaeum
299;Entoloma rhodopolium
300;Entoloma saepium
301;Entoloma saundersii
302;Entoloma sericeum
303;Entoloma serrulatum
304;Entoloma sinuatum
305;Entoloma vernum
306;Exidia cartilaginea
307;Exidia glandulosa
308;Exidia plana
309;Exidia truncata
310;Exobasidium vaccinii
311;Faerberia carbonaria
312;Fayodia maura
313;Fistulina hepatica
314;Flammulina velutipes
315;Fomes annosus
316;Fomes fomentarius
317;Fomitopsis officinalis
318;Fomitopsis pinicola
319;Fomitopsis rosea
320;Fuligo septica
321;Funalia trogii
322;Funalia versicolor
323;Galerina autumnalis
324;Galerina hypnorum
325;Galerina marginata
326;Galerina triscopa
327;Ganoderma applanatum
328;Ganoderma carnosum
329;Ganoderma europaeum
330;Ganoderma lipsiense
331;Ganoderma lucidum
332;Ganoderma resinaceum
333;Geastrum corollinum
334;Geastrum coronatum
335;Geastrum fimbriatum
336;Geastrum fornicatum
337;Geastrum pectinatum
338;Geastrum quadrifidum
339;Geastrum recolligens
340;Geastrum rufescens
341;Geastrum striatum
342;Geastrum triplex
343;Geastrum vulgatum
344;Geophila sublateritia
345;Geopora sumneriana
346;Geopyxis carbonaria
347;Gloeophyllum abietinum
348;Gloeophyllum odoratum
349;Gloeophyllum sepiarium
350;Gloiodon strigosus
351;Gomphidius glutinosus
352;Gomphidius helveticus
353;Gomphidius maculatus
354;Gomphidius roseus
355;Gomphidius rutilus
356;Gomphidius viscidus
357;Gomphus clavatus
358;Grifola frondosa
359;Grifola umbellata
360;Gymnopilus bellulus
361;Gymnopilus hybridus
362;Gymnopilus junonius
363;Gymnopilus penetrans
364;Gymnopilus sapineus
365;Gymnopilus spectabilis
366;Gymnopilus spumosa
367;Gymnopilus squarrosa
368;Gymnopus aquosus
369;Gymnopus confluens
370;Gymnopus cookei
371;Gymnopus dryophila
372;Gymnopus dryophilus
373;Gymnopus fusipes
374;Gymnopus maculata
375;Gymnopus peronatus
376;Gymnopus tuberosa
377;Gyrodon lividus
378;Gyromitra esculenta
379;Gyromitra gigas
380;Gyromitra infula
381;Gyroporus castaneus
382;Gyroporus cyanescens
383;Handkea excipuliformis
384;Handkea utriformis
385;Hapalopilus croceus
386;Hapalopilus nidulans
387;Hapalopilus rutilans
388;Hebeloma crustiliniforme
389;Hebeloma latifolium
390;Hebeloma mesophaeum
391;Hebeloma radicosum
392;Hebeloma sinapizans
393;Helotium fagineum
394;Helvella acetabulum
395;Helvella atra
396;Helvella crispa
397;Helvella elastica
398;Helvella lacunosa
399;Helvella leucomelaena
400;Helvella macropus
401;Helvella queletii
402;Hemimycena candida
403;Hemipholiota populnea
404;Hericium clathroides
405;Hericium coralloides
406;Hericium erinaceum
407;Hericium flagellum
408;Heterobasidion annosum
409;Heyderia abietis
410;Hirneola auricula-judae
411;Hirschioporus abietinus
412;Hirschioporus fuscoviolaceus
413;Hohenbuehelia abietina
414;Hohenbuehelia petaloides
415;Holwaya mucida
