id_o;nom
1;Autize
2;Auzance
3;Boulogne
4;Canal de la jeune Autise
5;Canal de la vieille Autise
6;Ciboule
7;Crûme
8;Falleron
9;Gai Chatenay
10;Graon
11;Gué Gonrand
12;Guérineau
13;Guimenière
14;Issoire
15;Jaunay
16;Lay
17;Lignée
18;Ligneron
19;Logne
20;Loing
21;Louisiere
22;Maine
23;Marillet
24;Mère
25;Ognon
26;Ornay
27;Ouin
28;Parc
29;Petit Lay
30;Petite Boulogne
31;Petite Maine
32;Riaillée
33;Riot
34;Rivière du Goulet
35;Rivière du Roulin
36;Ruth;
38;Sèvre Niortaise
39;Smagne
40;Vendée
41;Vertonne
42;Verdenneau
43;Vie
44;Vieille Autise
45;Vouraie
46;Yon
